File,Line,Reference,Role,FormScope,Phase2Action
sql/API/API_DanhSachTruongGiaoDien.sql,23,-- Thêm bí danh 'ff.' nếu cột nằm trong SY_FormatFields để tránh ambiguous,ADD_EDIT_RUNTIME,GLOBAL_OR_OTHER,KEEP_WITH_COMPATIBILITY
sql/API/API_DanhSachTruongGiaoDien.sql,23,-- Thêm bí danh 'ff.' nếu cột nằm trong SY_FormatFields để tránh ambiguous,FILTER_RUNTIME,GLOBAL_OR_OTHER,KEEP_WITH_COMPATIBILITY
sql/API/API_DanhSachTruongGiaoDien.sql,54,FROM SY_FormatFields ff,ADD_EDIT_RUNTIME,GLOBAL_OR_OTHER,KEEP_WITH_COMPATIBILITY
sql/API/API_DanhSachTruongGiaoDien.sql,54,FROM SY_FormatFields ff,FILTER_RUNTIME,GLOBAL_OR_OTHER,KEEP_WITH_COMPATIBILITY
sql/API/API_DongBoTruongGiaoDien.sql,7,-- API: Đồng bộ các trường dữ liệu từ Stored Procedure/Table vào bảng cấu hình Form (SY_FormatFields),FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_DongBoTruongGiaoDien.sql,19,"THROW 52601, N'FORM_BUILDER_WRITE_BLOCKED_PHASE2: không đồng bộ SY_FormatFields cho form pilot.', 1;",FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_DongBoTruongGiaoDien.sql,65,DELETE FROM SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_DongBoTruongGiaoDien.sql,69,-- Cursor duyệt qua các cột để tự động thêm vào SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_DongBoTruongGiaoDien.sql,91,-- Kiểm tra xem field đã có trong SY_FormatFields chưa,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_DongBoTruongGiaoDien.sql,92,IF NOT EXISTS (SELECT 1 FROM SY_FormatFields WHERE FormName = @FormName AND FieldName = @FieldName),FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_DongBoTruongGiaoDien.sql,108,UPDATE SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_LayCacTruongGiaoDien.sql,27,FROM SY_FormatFields ff,ADD_EDIT_RUNTIME,GLOBAL_OR_OTHER,KEEP_WITH_COMPATIBILITY
sql/API/API_LayCacTruongGiaoDien.sql,27,FROM SY_FormatFields ff,FILTER_RUNTIME,GLOBAL_OR_OTHER,KEEP_WITH_COMPATIBILITY
sql/API/API_LuuTruongGiaoDien.sql,31,-- Lưu tất cả trực tiếp vào SY_FormatFields (không dùng array trong SY_FrmLstTbl nữa),FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_LuuTruongGiaoDien.sql,32,IF EXISTS (SELECT 1 FROM SY_FormatFields WHERE FieldName = @FieldName AND FormName = @FormName),FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_LuuTruongGiaoDien.sql,34,UPDATE SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_LuuTruongGiaoDien.sql,54,INSERT INTO SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_LuuTruongGiaoDien.sql,70,FROM SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_TruyVanDong.sql,126,FROM SY_FormatFields,GRID_RUNTIME,GLOBAL_OR_OTHER,REMOVE_FOR_PILOT_ONLY
sql/API/API_XoaTruongGiaoDien.sql,21,FROM SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
sql/API/API_XoaTruongGiaoDien.sql,29,DELETE FROM SY_FormatFields,FORM_BUILDER_WRITE,GLOBAL_OR_OTHER,DISABLE_FOR_PILOT
