WebFormName,Action,LegacyProcedure,V2Procedure,EnabledByRegistry,DeletePolicy,RegistrationState,ActivationGate,RouteRollbackTarget
WA_BangThueTNCNFrm,View,API_TruyVanDong,API_TruyVanDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Exact one WA_API row; table/PK/permission/branch/result-set/parity pass",API_TruyVanDong
WA_BangThueTNCNFrm,Save,API_LuuDong,API_LuuDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Transaction insert/update/duplicate/unknown/audit spoof/permission/branch pass; rollback route không hoàn tác dữ liệu đã ghi",API_LuuDong
WA_BangThueTNCNFrm,Delete,API_XoaDong,API_XoaDong_V2,true,AUTO_SCHEMA,PREPARED_NOT_ACTIVE,"IsDeleted bit writable => soft delete; không có IsDeleted => hard delete; sai kiểu/computed => chặn; hard-delete chỉ phục hồi từ backup/DB restore",API_XoaDong
WA_ChucDanhFrm,View,API_DanhSachChucDanh,API_TruyVanDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Exact one WA_API row; table/PK/permission/branch/result-set/parity pass",API_DanhSachChucDanh
WA_ChucDanhFrm,Save,API_LuuDong,API_LuuDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Transaction insert/update/duplicate/unknown/audit spoof/permission/branch pass; rollback route không hoàn tác dữ liệu đã ghi",API_LuuDong
WA_ChucDanhFrm,Delete,API_XoaDong,API_XoaDong_V2,true,AUTO_SCHEMA,PREPARED_NOT_ACTIVE,"IsDeleted bit writable => soft delete; không có IsDeleted => hard delete; sai kiểu/computed => chặn; hard-delete chỉ phục hồi từ backup/DB restore",API_XoaDong
WA_TitleListFrm,View,API_TruyVanDong,API_TruyVanDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Exact one WA_API row; table/PK/permission/branch/result-set/parity pass",API_TruyVanDong
WA_TitleListFrm,Save,API_LuuDong,API_LuuDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Transaction insert/update/duplicate/unknown/audit spoof/permission/branch pass; rollback route không hoàn tác dữ liệu đã ghi",API_LuuDong
WA_TitleListFrm,Delete,API_XoaDong,API_XoaDong_V2,true,AUTO_SCHEMA,PREPARED_NOT_ACTIVE,"IsDeleted bit writable => soft delete; không có IsDeleted => hard delete; sai kiểu/computed => chặn; hard-delete chỉ phục hồi từ backup/DB restore",API_XoaDong
WA_ShiftListFrm,View,API_TruyVanDong,API_TruyVanDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Exact one WA_API row; table/PK/permission/branch/result-set/type parity pass",API_TruyVanDong
WA_ShiftListFrm,Save,API_LuuDong,API_LuuDong_V2,true,NOT_APPLICABLE,PREPARED_NOT_ACTIVE,"Transaction insert/update/duplicate/unknown/audit spoof/type/permission/branch pass; rollback route không hoàn tác dữ liệu đã ghi",API_LuuDong
WA_ShiftListFrm,Delete,API_XoaDong,API_XoaDong_V2,true,AUTO_SCHEMA,PREPARED_NOT_ACTIVE,"IsDeleted bit writable => soft delete; không có IsDeleted => hard delete; sai kiểu/computed => chặn; hard-delete chỉ phục hồi từ backup/DB restore",API_XoaDong
