Path,ReferenceContext,FormScope,Classification,RequiredAction,Reason
env.js,"Khai báo endpoint GET_UI_DICTIONARY legacy",NON_PHASE3_ACTIVE_FORMS,LEGACY_FORM_ALLOWED,"Giữ endpoint cho form legacy; test Network phải chứng minh form Phase 3 active không gọi","Khai báo endpoint không tự tạo runtime access nhưng cần gate theo form"
src/js/core/DynamicFormEngine.js,"API_LayCacTruongGiaoDien trong nhánh runtime legacy",NON_PHASE3_ACTIVE_FORMS,LEGACY_FORM_ALLOWED,"Giữ nhánh legacy; test bắt buộc chứng minh form active không đi vào nhánh này","Form chưa migrate vẫn phải hoạt động đầy đủ bằng metadata legacy"
src/js/utils/FormBuilderPlugin.js,"Ghi/đồng bộ layout legacy",NON_PHASE3_MANAGED_FORMS,LEGACY_FORM_ALLOWED,"Chặn mọi thao tác ghi đối với form registry Phase 3; chỉ cho compare/diagnostics","Form Builder legacy vẫn cần cho form ngoài Phase 3"
src/js/modules/hr/HRMetadataAdapter.js,"Đọc metadata module HR legacy",NON_PHASE3_ACTIVE_FORMS,LEGACY_FORM_ALLOWED,"Không dùng làm nguồn Grid/Add/Edit/Filter cho form Phase 3 active","Các module HR chưa migrate vẫn dùng adapter cũ"
src/components/report-filter/ReportFilterDialog.js,"Đọc dictionary legacy cho report",REPORT_FORMS,LEGACY_FORM_ALLOWED,"Không mở rộng Phase 3 sang report","Report nằm ngoài phạm vi CRUD một bảng"
sql/API/API_LayCacTruongGiaoDien.sql,"Đọc SY_FormatFields cho Add/Edit/Filter legacy",NON_PHASE3_ACTIVE_FORMS,LEGACY_FORM_ALLOWED,"Không gọi cho form Phase 3 active; giữ compatibility cho form legacy","Nguồn layout cũ không còn là runtime truth sau cutover"
sql/API/API_DanhSachTruongGiaoDien.sql,"Đọc SY_FormatFields cho dictionary/filter legacy",NON_PHASE3_ACTIVE_FORMS,LEGACY_FORM_ALLOWED,"Không gọi cho form Phase 3 active","Chỉ phục vụ form chưa migrate"
sql/API/API_TruyVanDong.sql,"Đọc SY_FormatFields trong View generic legacy",NON_PHASE3_ACTIVE_FORMS,LEGACY_FORM_ALLOWED,"Route View của form active phải là V2 và test không rơi về procedure này","Legacy View vẫn cần cho rollback/form chưa migrate"
sql/API/API_DongBoTruongGiaoDien.sql,"Đồng bộ và có nhánh ghi/xóa SY_FormatFields",LEGACY_FORM_BUILDER,LEGACY_FORM_ALLOWED,"Fail-closed với mọi form registry Phase 3; không chạy trong bộ cài Phase 3","Chỉ còn cho quy trình legacy riêng"
sql/API/API_LuuTruongGiaoDien.sql,"Lưu layout vào SY_FormatFields",LEGACY_FORM_BUILDER,LEGACY_FORM_ALLOWED,"Chặn form registry Phase 3; không dùng làm diagnostics write","Form Builder Phase 3 chỉ được read-only compare"
sql/API/API_XoaTruongGiaoDien.sql,"Xóa field layout khỏi SY_FormatFields",LEGACY_FORM_BUILDER,LEGACY_FORM_ALLOWED,"Chặn form registry Phase 3","Không xóa metadata legacy khi migration/rollback"
sql/FieldSyncPhase1/03_API_WEB_GRID_FIELD_COMPARE_V2.sql,"Đọc legacy để so sánh",AUDIT_ONLY,PARITY_ALLOWED,"Chỉ chạy compare; không dùng kết quả làm runtime contract","Đối chiếu không phải nguồn sự thật runtime"
docs/phase2-api-migration/06_SY_FORMATFIELDS_REMAINING_REFERENCES.csv,"Inventory lịch sử",DOCUMENTATION,PARITY_ALLOWED,"Giữ làm bằng chứng audit","Không được frontend/backend gọi như runtime"
docs/phase2-api-migration/11_KICH_HOAT_UNIFIED_FIELD_CONTRACT.md,"Hướng dẫn parity/kích hoạt Phase 2",DOCUMENTATION,PARITY_ALLOWED,"Giữ làm lịch sử và đối chiếu; Phase 3 dùng gate mới","Không phải code runtime"
tests/frontend-contracts.test.mjs,"Fixture/assertion contract legacy và cấm ghi SY_*",TEST_ONLY,TEST_ALLOWED,"Giữ để regression; không đưa code fixture vào runtime","Test có thể nhắc tên bảng"
tests/phase3-simple-crud.test.mjs,"Assertion cấm runtime và kiểm tra fallback",TEST_ONLY,TEST_ALLOWED,"Cho phép chuỗi tên bảng trong test; không cho phép code runtime active đọc bảng","Test cần phát hiện regression"
sql/Phase2RuntimeTests/01_VIEW_PARITY_READONLY.sql,"Harness so sánh View legacy/V2",TEST_ONLY,TEST_ALLOWED,"Chỉ chạy QA/read-only theo hướng dẫn","Legacy chỉ là chuẩn so sánh"
sql/Insert/**,"Installer/seed legacy có đọc/ghi hoặc đồng bộ SY_FormatFields",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy như bước kích hoạt Phase 3; review riêng từng script","Giữ cho migration legacy ngoài phạm vi"
sql/API/APINEW/**,"Script API/installer cũ có đồng bộ hoặc cập nhật caption",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy cho form Phase 3 đã cutover","Artifact lịch sử có thể còn cần cho form legacy"
sql/Insert/Combined_Insert_Temp.sql,"Installer legacy có thao tác xóa/ghi metadata",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy cho Phase 3; giữ làm lịch sử và chỉ dùng theo quy trình migration legacy riêng","Script destructive không thuộc bộ cài Phase 3"
sql/Insert/Register_WA_BangThueTNCNFrm.sql,"Đồng bộ/ghi metadata legacy",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy để kích hoạt Phase 3","Phase 3 không xóa hoặc tái tạo metadata legacy"
sql/Insert/Insert_WA_ChucDanhFrm.sql,"Đồng bộ/ghi metadata legacy",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy để kích hoạt Phase 3","Phase 3 không xóa hoặc tái tạo metadata legacy"
sql/Insert/Register_WA_TitleListFrm.sql,"Đồng bộ/ghi metadata legacy",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy để kích hoạt Phase 3","Phase 3 không xóa hoặc tái tạo metadata legacy"
sql/Insert/Register_WA_ShiftListFrm.sql,"Đồng bộ/ghi metadata legacy",LEGACY_INSTALLER,MIGRATION_ALLOWED,"Không chạy để kích hoạt Phase 3","Phase 3 không xóa hoặc tái tạo metadata legacy"
docs/phase3-simple-crud/09_HUONG_DAN_ROLLBACK.md,"Quy định rollback không xóa metadata legacy",PHASE3_ROLLBACK,ROLLBACK_ALLOWED,"Chỉ tham chiếu để xác nhận dữ liệu không bị chạm","Rollback chỉ phục hồi WA_API theo expected old/new"
PHASE3_ACTIVE_RUNTIME,"Mọi đọc/ghi bảng từ Grid/Add/Edit/Filter/Save/Delete của form active",PHASE3_ACTIVE_FORMS,RUNTIME_FORBIDDEN,"Gate phải fail nếu phát hiện; không kích hoạt form","Contract active phải đến từ result-set/sys.columns và SY_FmtFldTbl/SY_FmatTbl/SY_FrmDrdwTbl"
