File,Procedure,WAApiList,WAApiFunc,MainTable,PrimaryAlias,JoinTables,JoinType,JoinCondition,JoinCardinality,CurrentColumns,HasSelectStar,HasAggregate,HasUnion,HasBlob,HasSensitiveData,BranchFilter,PermissionFilter,FrontendConsumers,Category,Decision,Risk
sql/API/API_ComboFormatID.sql,API_ComboFormatID,,,#TempFormat,WHERE,,,,NONE,"* INTO #TempFormat FROM ( VALUES ('t', N'Văn bản (Text)'), ('n', N'Số (Number)'), ('dt', N'Ngày (Date)'), ('sw', N'Bật/Tắt (Switch)'), ('sl', N'Danh sách chọn (Select)') ) AS FormatList(MaDinhDang, TenDinhDang) SELECT MaDinhDang, TenDinhDang",YES,NO,NO,YES,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,,ATTACHMENT,BLOCKED,CRITICAL
sql/API/API_ComboFormPosition.sql,API_ComboFormPosition,,,#TempPos,WHERE,,,,NONE,"* INTO #TempPos FROM ( VALUES ('12', N'Đầy đủ 100% (Full)'), ('6', N'Một nửa 50% (Half)'), ('4', N'1/3 Chiều rộng'), ('3', N'1/4 Chiều rộng') ) AS PosList(MaViTri, TenViTri) SELECT MaViTri, TenViTri",YES,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,,LOOKUP,EXCLUDE_PHASE2,MEDIUM
sql/API/API_ComboPersonStatus.sql,API_ComboPersonStatus,API_ComboPersonStatus,View,HR_PersonStatusTbl,WHERE,,,,NONE,"PersonStatus AS [Mã], PersonStatusName AS [Tên]",NO,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,src/js/core/WizardForm.js|src/js/modules/hr/definitions/contract.js|src/js/modules/hr/definitions/employee.js,LOOKUP,EXCLUDE_PHASE2,LOW
sql/API/API_DanhSachTaiKhoan.sql,API_DanhSachTaiKhoan,,,SY_User,WHERE,,,,NONE,"UserName, HoTen, UserGroupID, BranchID, Disable, EmployeeID, Manager",NO,NO,NO,NO,NO,STATIC_REFERENCE_FOUND,NOT_FOUND_STATIC,,UNKNOWN,BLOCKED,CRITICAL
sql/API/API_DanhSachTruongGiaoDien.sql,API_DanhSachTruongGiaoDien,,,SY_FormatFields,ff,SY_FrmLstTbl,LEFT JOIN,ff.FormName = l.FormID,CHUA_XAC_MINH_DB,"ff.AutoID, ff.FormName, ff.FieldName, ff.CaptionVN, ff.FormatID, ff.CaptionEN, ff.DataSource, ff.IsRequired, ff.FormPosition, ff.ValidateRule, ff.DependsOn, ff.VisibleRule, ff.OrderNo, ISNULL(ff.ShowInAdd, 1) AS ShowInAdd, ISNULL(ff.ShowInEdit, 1) AS ShowInEdit, ISNULL(ff.IsReadOnlyEdit, 0) AS IsReadOnlyEdit, ISNULL(ff.IsReadOnlyAdd, 0) AS IsReadOnlyAdd, ISNULL(ff.ShowInFilter, 0) AS ShowInFilter",NO,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,src/components/rule-builder/RuleBuilderDialog.js,JOINED_MASTER,REWRITE_SAFE_JOIN,HIGH
sql/API/API_DongBoQuyenTruyCap.sql,API_DongBoQuyenTruyCap,,,SY_UserGroup,,,,,NONE,UserGroupID,NO,NO,NO,NO,NO,NOT_FOUND_STATIC,STATIC_REFERENCE_FOUND,,MULTI_RESULT,EXCLUDE_PHASE2,LOW
sql/API/API_DongBoTruongGiaoDien.sql,API_DongBoTruongGiaoDien,,,sys,,,,,NONE,"name, system_type_name, column_ordinal",YES,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,src/js/utils/FormBuilderPlugin.js,MULTI_RESULT,EXCLUDE_PHASE2,MEDIUM
sql/API/API_Gateway_Router.sql,API_Gateway_Router,,,WA_API,WHERE,,,,NONE,"@TargetStore = LTRIM(RTRIM([SQL])), @ParaTemplate = LTRIM(RTRIM(ISNULL(Para, '')))",NO,NO,NO,NO,NO,STATIC_REFERENCE_FOUND,NOT_FOUND_STATIC,src/js/core/AppConfig.js|src/js/core/WizardForm.js|src/js/utils/FormBuilderPlugin.js|src/pages/dashboard/dashboard.js,MULTI_RESULT,EXCLUDE_PHASE2,LOW
sql/API/API_LayCacTruongGiaoDien.sql,API_LayCacTruongGiaoDien,,,SY_FormatFields,ff,SY_FrmLstTbl,LEFT JOIN,ff.FormName = l.FormID,CHUA_XAC_MINH_DB,"ff.FieldName AS [name], ff.CaptionVN AS [label], ISNULL(ff.IsRequired, 0) AS [required], ISNULL(ff.FormPosition, 'grid') AS [position], ISNULL(l.PrimaryKey, '') AS [primaryKey], ISNULL(ff.ShowInAdd, 1) AS [showInAdd], ISNULL(ff.ShowInEdit, 1) AS [showInEdit], ISNULL(ff.IsReadOnlyEdit, 0) AS [isReadOnlyEdit], ISNULL(ff.IsReadOnlyAdd, 0) AS [isReadOnlyAdd], ISNULL(ff.FormatID, '') AS [renderRule], ISNULL(ff.DataSource, '') AS [dataSource], ISNULL(ff.OrderNo, 0) AS [orderNo], ISNULL(ff.ValidateRule, '') AS [validateRule], ISNULL(ff.DependsOn, '') AS [dependsOn], ISNULL(ff.VisibleRule, '') AS [...",NO,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,src/components/report-filter/ReportFilterDialog.js|src/js/core/DynamicFormEngine.js,JOINED_MASTER,REWRITE_SAFE_JOIN,HIGH
sql/API/API_LayChuThichLich.sql,API_LayChuThichLich,,,tbmk_Biennhancoccho,WHERE,,,,NONE,@CocCount = COUNT(*),NO,YES,YES,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,,MULTI_RESULT,EXCLUDE_PHASE2,HIGH
sql/API/API_LayDanhSachMenuTatCa.sql,API_LayDanhSachMenuTatCa,,,WA_Menu,ORDER,,,,NONE,"MenuID AS [id], COALESCE(Parent, '') AS [parent], COALESCE(VN, '') AS [label], COALESCE(SubTitle, '') AS [subTitle], COALESCE(EN, '') AS [en], COALESCE(FormName, '') AS [formName], COALESCE(FormKey, '') AS [formKey], COALESCE(URLPara, '') AS [urlPara], COALESCE(IconClass, '') AS [icon], COALESCE(isDisable, 0) AS [isDisable]",NO,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,,UNKNOWN,BLOCKED,CRITICAL
sql/API/API_LayDanhSachNhom.sql,API_LayDanhSachNhom,,,SY_UserGroup,WHERE,,,,NONE,"[UserGroupID] AS [id], [UserGroupName] AS [name]",NO,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,,UNKNOWN,BLOCKED,CRITICAL
sql/API/API_LayGiaTriSetup.sql,API_LayGiaTriSetup,,,SY_Setup,WHERE,,,,NONE,"[CodeID], [CodeValue]",NO,NO,NO,NO,NO,NOT_FOUND_STATIC,NOT_FOUND_STATIC,,UNKNOWN,BLOCKED,CRITICAL
